Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences,Stage1_Relevance_Score,Gemini_Emotion,Gemini_Reason,Gemini_Model
1:33 NINGNING SAYING MUCHAS GRACIAS MI AMOR IS SO ADDICTIVE,197,1:33 寧寧說非常感謝我的愛是如此令人上癮,人|上癮; 愛|上癮; 愛|感謝,3,1:33  寧寧 說 非常 感謝 我 的 愛 是 如此 令 人 上癮,2,興奮,覺得歌詞非常洗腦,gemini-3.1-flash-lite
"NINGNING DICIENDO ""MUCHAS GRACIAS MI AMOR"" AMO😭",272,寧寧說「非常感謝我的愛」愛😭,寧寧|感謝; 愛|感謝,2,寧寧 說 「 非常 感謝 我 的 愛 」 愛 😭,2,感動,對成員表現感到喜愛,gemini-3.1-flash-lite
"1:34 NINGNING ""MUCHAS GRACIAS MI AMOR"" ITS HEALING ME",321,1:34 寧寧「非常感謝你我的愛」它治癒了我,寧寧|感謝; 愛|感謝,2,1:34   寧寧 「 非常 感謝 你我 的 愛 」 它 治癒 了 我,2,感動,覺得歌詞有療癒感,gemini-3.1-flash-lite
"0:39 WINTER RAP SO FAST AND ADDICTIVEEE OMGG, MY MINJEONGGG",332,0:39 冬季饒舌如此快速且令人上癮天哪，我的 MINJEONGGG,人|上癮; 人|快速; 人|饒舌; 天|上癮; 天|快速,5,0:39   冬季 饒舌 如此 快速 且 令 人 上癮 天 哪 ， 我 的  MINJEONGGG,2,興奮,對饒舌速度感到驚艷,gemini-3.1-flash-lite
曲の中毒性もすごいんだけど、MVの見せ方？演出？が上手で、MV自体もすごく中毒性あって何度も見に来ちゃう,343,這首歌確實會讓人上癮，但是音樂錄影帶是如何呈現的呢？方向？非常擅長，而且MV本身就很上癮，所以我會常常回來看。,人|上癮; 歌|上癮; 錄影帶|上癮; 音樂|上癮,4,這 首 歌 確實 會 讓 人 上癮 ， 但是 音樂 錄影帶 是 如何 呈現 的 呢,2,興奮,稱讚MV與歌曲中毒性,gemini-3.1-flash-lite
0:39 WINTER WHEN YOU RAP PRONOUNCE IT'S ADDICTING,362,0:39 冬天，當你的饒舌宣告它令人上癮時,人|上癮; 人|饒舌,2,0:39   冬天 ， 當 你 的 饒舌 宣告 它 令 人 上癮 時,2,興奮,覺得饒舌發音很洗腦,gemini-3.1-flash-lite
MUCHAS GRACIAS MI AMOR 🗣️🗣️🗣️🗣️🔥,371,非常感謝你我的愛🗣️🗣️🗣️🗣️🔥,你我|感謝; 愛|感謝,2,非常 感謝 你我 的 愛 🗣️🗣️🗣️🗣️🔥,2,興奮,對歌詞感到熱血沸騰,gemini-3.1-flash-lite
"WAIT OMG STOP
MUCHAS GRACIAS MI AMOR !!!!!",451,"等等，天哪，停下來
非常感謝你我的愛！ ！ ！ ！",你我|感謝; 愛|感謝,2,非常 感謝 你我 的 愛,2,興奮,對歌詞感到激動,gemini-3.1-flash-lite
"Finally a song to put on loop for 24 hours straight after so long 

Aespa saved Kpop with Lemonade",3,"這麼久之後終於有一首可以連續24小時循環播放的歌曲了

Aespa 用檸檬水拯救了韓國流行音樂",小時|連續; 循環|連續; 檸檬水|流行; 音樂|流行,4,這麼 久 之後 終於 有 一 首 可以 連續 24 小時 循環 播放 的 歌曲 了 || Aespa  用 檸檬水 拯救 了 韓國 流行 音樂,1,興奮,認為歌曲拯救了Kpo,gemini-3.1-flash-lite
Winter's rap line is so satisfying on first verse,13,Winter 的饒舌台詞在第一節就非常令人滿意,人|滿意; 台詞|饒舌,2,Winter  的 饒舌 台詞 在 第一 節 就 非常 令 人 滿意,1,興奮,覺得饒舌聽感舒適,gemini-3.1-flash-lite
Aespa is why K-Pop will never get boring,18,Aespa 是韓國流行音樂永遠不會無聊的原因,原因|無聊; 音樂|流行; 音樂|無聊,3,Aespa  是 韓國 流行 音樂 永遠 不會 無聊 的 原因,1,興奮,對團體實力感到驕傲,gemini-3.1-flash-lite
Once again showing they are THE visual queens of kpop,19,再次證明他們是韓國流行音樂的視覺女王,女王|流行; 視覺|流行; 音樂|流行,3,再次 證明 他們 是 韓國 流行 音樂 的 視覺 女王,1,興奮,讚美成員視覺魅力,gemini-3.1-flash-lite
"“WAIT, OMG, STOP” WILL BE MY NEWW FAV LINE",20,「等等，天啊，停下來」將是我最喜歡的新台詞,台詞|喜歡; 台詞|新; 天啊|停下來,3,「 等等 ， 天啊 ， 停下來 」 將 是 我 最 喜歡 的 新 台詞,1,興奮,對歌詞感到喜愛,gemini-3.1-flash-lite
"4 Divas 4 Artists 4 Rappers 4 vocalists 4 Queens.
The finally comeback full group 😭🙏",40,"4 位女歌手 4 位藝人 4 位饒舌歌手 4 位歌手 4 位皇后。
終於全團回歸了🙏🙏",歌手|饒舌; 藝人|饒舌,2,4   位 女 歌手  4   位 藝人  4   位 饒舌 歌手  4   位 歌手  4   位 皇后,1,感動,對完整體回歸感到激動,gemini-3.1-flash-lite
"The styling is really something else,  it's refreshing",45,造型真別有一番風味，讓人耳目一新,人|耳目一新; 風味|耳目一新,2,造型 真 別有 一 番 風味 ， 讓 人 耳目一新,1,興奮,覺得造型非常清新,gemini-3.1-flash-lite
에스파는 실망시키지 않는다ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 비트 느낌 개좋음,56,Espa果然沒有讓人失望哈哈哈哈。節奏感覺真的很好。,人|失望; 感覺|好; 節奏|好,3,Espa 果然 沒有 讓 人 失望 哈哈 哈哈 || 節奏 感覺 真的 很 好,1,興奮,對節奏感感到滿意,gemini-3.1-flash-lite
Finally aespa comeback full album,60,aespa終於回歸完整專輯,專輯|完整,1,aespa 終於 回歸 完整 專輯,1,期待,對正規專輯回歸期待,gemini-3.1-flash-lite
"A song over 3 min, vocals, rap, bridge, every member verse, the mv, the visuals, the styles, the instrumentals, the harmonies, a full constructed  song, it's SOTY! and aespa can NEVER disappoint us!!!",93,一首超過3分鐘的歌曲，人聲、饒舌、橋段、每個成員的主歌、mv、視覺效果、風格、器樂、和聲，一首完整的歌曲，太SOTY了！ aespa 永遠不會讓我們失望！,人聲|饒舌; 橋段|饒舌; 歌曲|完整; 歌曲|饒舌,4,一 首 超過 3 分鐘 的 歌曲 ， 人聲 、 饒舌 、 橋段 、 每 個 成員 的 主歌 、 mv 、 視覺 效果 、 風格 、 器樂 、 和聲 ， 一 首 完整 的 歌曲 ， 太 SOTY 了,1,興奮,認為是年度最佳作品,gemini-3.1-flash-lite
That fact that all aespa members are all rapping in this song at different times is amazing it shows how unique that they are. Aespa have no skips.,108,所有 aespa 成員在不同時間都在這首歌中說唱，這一事實令人驚訝，這表明他們是多麼獨特。 Aespa 沒有跳過。,事實|驚訝; 人|驚訝; 成員|不同; 時間|不同,4,所有  aespa  成員 在 不同 時間 都 在 這 首 歌 中 說唱 ， 這 一 事實 令 人 驚訝 ， 這 表明 他們 是 多麼 獨特,1,興奮,讚賞成員饒舌實力,gemini-3.1-flash-lite
WINTER RAPPING AND THE HIGH NOTE MAEMM PERIODD,110,冬季饒舌和高音 MAEMM 時期,時期|饒舌; 高音|饒舌,2,冬季 饒舌 和 高音  MAEMM  時期,1,興奮,對高音與饒舌讚嘆,gemini-3.1-flash-lite
"karina's vocals, giselle and winter's rap verses, ningning's spanish verse, the bridge hello??? oh aespa you will always be famous",124,卡琳娜的歌聲，吉賽兒和溫特的饒舌詩句，寧寧的西班牙詩句，橋你好？ ？ ？哦，aespa，你將永遠出名,吉賽兒|饒舌; 寧寧|饒舌; 橋|好; 溫特|饒舌; 詩句|好; 詩句|饒舌,6,卡琳娜 的 歌聲 ， 吉賽兒 和 溫特 的 饒舌 詩句 ， 寧寧 的 西班牙 詩句 ， 橋 你 好,1,興奮,對成員表現感到驚艷,gemini-3.1-flash-lite
"We should reach 30m as soon as possible, MYs",127,我們應該盡快到達30m，小夥伴們,們|小; 夥伴|小,2,我們 應該 盡快 到達 30m ， 小 夥伴 們,1,期待,呼籲粉絲衝刺點閱,gemini-3.1-flash-lite
Bridge part is so addictive,135,橋段太讓人上癮了,人|上癮; 橋段|上癮,2,橋段 太 讓 人 上癮 了,1,興奮,覺得橋段非常洗腦,gemini-3.1-flash-lite
노래 진짜 시원하다 이게 에스파식 청량이야...,137,這首歌確實讓人耳目一新。這是Espa風格的清爽...,人|耳目一新; 歌|耳目一新; 風格|清爽,3,這 首 歌 確實 讓 人 耳目一新 || 這 是 Espa 風格 的 清爽 ...,1,興奮,覺得歌曲清爽好聽,gemini-3.1-flash-lite
This comeback highlight is Giselle. Sm finally remembered that Aespa have a main rapper.,145,此次回歸的亮點是吉賽爾。 Sm終於想起來Aespa有一個主要的饒舌歌手。,歌手|饒舌,1,Sm 終於 想起來 Aespa 有 一 個 主要 的 饒舌 歌手,1,興奮,對成員分配感到滿意,gemini-3.1-flash-lite
This is addictive song. I can't stop playing this,157,這是一首讓人上癮的歌曲。我無法停止玩這個,人|上癮; 歌曲|上癮,2,這 是 一 首 讓 人 上癮 的 歌曲,1,興奮,覺得歌曲非常洗腦,gemini-3.1-flash-lite
Giselle getting so many lines??????WTF!!! Sm finally remembered aespa rappers,158,吉賽兒有這麼多台詞？ ？ ？ ？ ？ ？ WTF！ ！ ！ Sm終於想起aespa饒舌歌手,歌手|饒舌,1,Sm 終於 想起 aespa 饒舌 歌手,1,興奮,對成員份量感到驚喜,gemini-3.1-flash-lite
WINTER RAPPERRRRRRRR HER LINE IS FIRE,169,冬季饒舌歌手RRRRRR 她的路線很火,歌手|饒舌; 路線|火; 路線|饒舌,3,冬季 饒舌 歌手 RRRRRR  她 的 路線 很 火,1,興奮,稱讚饒舌表現火熱,gemini-3.1-flash-lite
"WINTER'S RAP, HIGHNOTES AND PRETTY + HOT + HANDSOME VISUAL IN THIS MV??? THIS IS WINTER ERA",189,冬季的饒舌、高音和漂亮+熱辣+帥氣的視覺在這支MV中？ ？ ？這是冬季時代,視覺|帥氣; 視覺|熱; 視覺|辣; 高音|漂亮; 高音|熱; 高音|辣; 高音|饒舌,7,冬季 的 饒舌 、 高音 和 漂亮 + 熱 辣 + 帥氣 的 視覺 在 這 支 MV 中,1,興奮,對成員表現感到驚艷,gemini-3.1-flash-lite
"I can't wait for the full album reaction, it's the best work aespa have done!",194,我已經等不及完整專輯的反應了，這是 aespa 所做的最好的工作！,反應|完整; 專輯|完整; 工作|好,3,我 已經 等不及 完整 專輯 的 反應 了 ， 這 是  aespa  所 做 的 最 好 的 工作,1,期待,期待專輯後續反應,gemini-3.1-flash-lite
첫 소절부터 '아.. 여름이구나..' 생각이 박힐 정도로 좋고 노래 자체가 되게 중독성 있음 (윈터누님 사랑해요),206,從第一節開始，它就太好聽了，你會想，「啊…這是夏天…」這首歌本身就很容易讓人上癮（我愛你，冬姐姐）,人|上癮; 人|容易; 歌|容易,3,從 第一 節 開始 ， 它 就 太 好聽 了 ， 你 會 想 ， 「 啊 … 這 是 夏天 … 」 這 首 歌 本身 就 很 容易 讓 人 上癮 （ 我 愛 你 ， 冬 姐姐 ）,1,興奮,覺得歌曲充滿夏日感,gemini-3.1-flash-lite
the more you listen to this song the more addictive it becomes,208,這首歌越聽越上癮,歌|上癮,1,這 首 歌 越 聽 越 上癮,1,興奮,越聽越覺得洗腦,gemini-3.1-flash-lite
"Giselle has such a natural flow when she raps, it makes every verse sound addictive",234,吉賽兒說唱時的流暢感讓每一節都讓人上癮,人|上癮,1,吉賽兒 說唱 時 的 流暢感 讓 每 一 節 都 讓 人 上癮,1,興奮,稱讚饒舌流暢度,gemini-3.1-flash-lite
Winter rap and high note is kinda insane!!!!!!,237,冬季饒舌和高音有點瘋狂！ ！ ！ ！ ！ ！,高音|瘋狂; 高音|饒舌,2,冬季 饒舌 和 高音 有點 瘋狂,1,興奮,對高音與饒舌讚嘆,gemini-3.1-flash-lite
AESPA DID IT AGAIN !!! I LOVED THIS SONG AND THE WHOLE ALBUM!!! 🍋,252,AESPA 又做到了！我喜歡這首歌和整張專輯！ 🍋,歌|喜歡,1,我 喜歡 這 首 歌 和 整 張 專輯,1,興奮,對專輯整體感到滿意,gemini-3.1-flash-lite
"selingan if i treasure versi aku, lemonade aespa candu banget jujurrrrr ini beneran lagu mereka banget 😭❤️‍🔥",271,我版本的If I Treasure插曲，Aespa's Lemonade真的會讓人上癮，說實話，這真的是他們的歌😭❤️‍🔥,人|上癮; 實話|上癮,2,我 版本 的 If I Treasure 插曲 ， Aespa's  Lemonade 真的 會 讓 人 上癮 ， 說 實話 ， 這 真的 是 他們 的 歌 😭❤️‍🔥,1,興奮,覺得歌曲非常上癮,gemini-3.1-flash-lite
11 MILLIONS OMG AESPA IS ON FIRE AND A FULL ALBUM OMG,274,1100 萬張 OMG AESPA 火紅了，還有一張完整專輯 OMG,專輯|完整,1,1100  萬 張  OMG AESPA  火紅 了 ， 還 有 一 張 完整 專輯  OMG,1,興奮,對點閱率感到激動,gemini-3.1-flash-lite
노래 진짜 개좋네 딱 시원한 쇠맛여름 느낌이라 진짜 흥할듯,282,這首歌真的很好聽。感覺就像一個涼爽的、有鐵味的夏天，所以我想這會很有趣。,歌|好聽; 鐵味|涼爽,2,這 首 歌 真的 很 好聽 || 感覺 就 像 一 個 涼爽 的 、 有 鐵味 的 夏天 ， 所以 我 想 這 會 很 有趣,1,興奮,覺得歌曲清爽會紅,gemini-3.1-flash-lite
So addictive! The vocals are insane and Kim Minjeong’s rap is crazzzzyyyy,310,太讓人上癮了！歌聲很瘋狂，金珉廷的饒舌也很瘋狂,人|上癮; 歌聲|瘋狂; 金珉廷|瘋狂,3,太 讓 人 上癮 了 || 歌聲 很 瘋狂 ， 金珉廷 的 饒舌 也 很 瘋狂,1,興奮,對饒舌與歌聲讚嘆,gemini-3.1-flash-lite
0:39 Winter ❤ it's gonna be my fav part of the song,322,0:39 Winter ❤ 這將是這首歌中我最喜歡的部分,歌|喜歡,1,0:39  Winter ❤  這 將 是 這 首 歌 中 我 最 喜歡 的 部分,1,興奮,對饒舌片段感到喜愛,gemini-3.1-flash-lite
