Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences,Stage1_Relevance_Score,Gemini_Emotion,Gemini_Reason,Gemini_Model
No idols do metallic acid like aespa. They are whole different animals.,48,沒有哪個偶像能像 aespa 那樣做金屬酸。它們是完全不同的動物。,偶像|那樣; 動物|不同; 金屬酸|那樣,3,沒有 哪 個 偶像 能 像  aespa  那樣 做 金屬酸 || 它們 是 完全 不同 的 動物,1,興奮,讚賞獨特的音樂風格,gemini-3.1-flash-lite
G Dragon added his own distinct sound to Aespa's without overshadowing them. THIS IS A BANGER 💯,54,G Dragon 將自己獨特的聲音加入 Aespa 的聲音中，但又沒有讓他們黯然失色。這是一個大問題💯,問題|大; 聲音|獨特,2,G Dragon  將 自己 獨特 的 聲音 加入  Aespa  的 聲音 中 ， 但 又 沒有 讓 他們 黯然失色 || 這 是 一 個 大 問題 💯,1,興奮,稱讚GD合作非常完美,gemini-3.1-flash-lite
Aespas ability to switch up is amazing. Queens of k pop 👸🏻👸🏼👸🏻👸🏻,57,Aespas 的切換能力令人驚艷。韓國流行音樂女王👸🏻👸🏼👸🏻👸🏻,人|驚艷; 女王|流行; 能力|驚艷; 音樂|流行,4,Aespas  的 切換 能力 令 人 驚艷 || 韓國 流行 音樂 女王 👸🏻👸🏼👸🏻👸🏻,1,興奮,讚賞團體轉型能力,gemini-3.1-flash-lite
She's a Whole Different Animal,64,她是一種完全不同的動物,動物|不同,1,她 是 一 種 完全 不同 的 動物,1,興奮,認同團體獨特性,gemini-3.1-flash-lite
I am shooketh by how unsettling the MV is 🤯 Credits to the creators,77,MV 如此令人不安，我感到震驚🤯 感謝創作者,人|不安; 人|感到; 人|震驚; 者|感謝; 者|震驚,5,MV  如此 令 人 不安 ， 我 感到 震驚 🤯   感謝 創作 者,1,興奮,對MV詭譎感感到震撼,gemini-3.1-flash-lite
She's a Whole Different Animal 🐴 and Make it Lemonade 🍋,96,她是一種完全不同的動物🐴並製作檸檬水🍋,動物|不同,1,她 是 一 種 完全 不同 的 動物 🐴 並 製作 檸檬水 🍋,1,興奮,引用歌詞表達喜愛,gemini-3.1-flash-lite
This song is so insane,97,這首歌太瘋狂了,歌|瘋狂,1,這 首 歌 太 瘋狂 了,1,興奮,認為歌曲非常瘋狂,gemini-3.1-flash-lite
ÆSPA IS THE WHOLE DIFFERENT ANIMAL IN THE WHOLE KPOP INDUSTRY!!!,98,ÆSPA 是整個 KPOP 產業中完全不同的動物！,動物|不同; 產業|不同,2,ÆSPA  是 整 個  KPOP  產業 中 完全 不同 的 動物,1,興奮,強調團體獨特性,gemini-3.1-flash-lite
"AESPA AND G-DRAGON 
is THE COLLABORATION OF THE YEAR",101,"AESPA 與 G-DRAGON
是年度最佳合作",年度|合作,1,是 年度 最佳 合作,1,興奮,稱讚年度最佳合作,gemini-3.1-flash-lite
Aespa is why K-Pop will never get boring,103,Aespa 是韓國流行音樂永遠不會無聊的原因,原因|無聊; 音樂|流行; 音樂|無聊,3,Aespa  是 韓國 流行 音樂 永遠 不會 無聊 的 原因,1,興奮,認為團體讓Kpop有,gemini-3.1-flash-lite
Can't stop listening to this. It's so addictive. Kept finding myself humming this song every now and then.,107,無法停止聽這個。太讓人上癮了。發現自己時不時地哼著這首歌。,人|上癮,1,太 讓 人 上癮 了,1,興奮,歌曲非常洗腦好聽,gemini-3.1-flash-lite
I don't understand why people say this song sounds bad,120,我不懂為什麼有人說這首歌不好聽,人|懂; 歌|好聽,2,我 不 懂 為什麼 有 人 說 這 首 歌 不 好聽,1,感動,不解為何有人不喜歡,gemini-3.1-flash-lite
this is not like regular kpop and im loving it,123,這不像普通的韓國流行音樂，我喜歡它,音樂|喜歡; 音樂|普通; 音樂|流行,3,這 不 像 普通 的 韓國 流行 音樂 ， 我 喜歡 它,1,興奮,喜愛其非典型風格,gemini-3.1-flash-lite
"I‘m in love G-DRAGONs part so satisfying omg it‘s perfect, SOTY!!!!",150,我愛上了 G-DRAGON 的部分，太令人滿意了，天啊，它太完美了，SOTY！ ！ ！ ！,人|滿意; 天啊|完美; 天啊|滿意,3,我 愛上 了  G-DRAGON  的 部分 ， 太 令 人 滿意 了 ， 天啊 ， 它 太 完美 了 ， SOTY,1,興奮,極度喜愛GD的部分,gemini-3.1-flash-lite
She's a Whole Different Animal those lyrics are stuck in my mouth ears and brain and my heart,170,她是個完全不同的動物那些歌詞卡在我的嘴裡、耳朵、大腦和我的心裡,動物|不同; 動物|卡在; 嘴|卡在; 歌詞|不同; 歌詞|卡在,5,她 是 個 完全 不同 的 動物 那些 歌詞 卡在 我 的 嘴 裡 、 耳朵 、 大腦 和 我 的 心 裡,1,興奮,歌詞非常洗腦,gemini-3.1-flash-lite
aespa's Whole Different Animal dance choreography was so addictive 😮,175,aespa 的 Whole Different Animal 舞蹈編排太讓人上癮了😮,人|上癮; 舞蹈|上癮,2,aespa  的  Whole  Different  Animal  舞蹈 編排 太 讓 人 上癮 了 😮,1,興奮,舞蹈編排令人上癮,gemini-3.1-flash-lite
에스파는 ㄹㅇ이런 컨셉이 딱인듯 노래 너무 좋고 지디 쓴 것도 개똑똑함,176,Aespa 似乎非常適合這個概念。這首歌真的很好聽，GD的寫作也很聰明。,概念|適合; 歌|好聽,2,Aespa  似乎 非常 適合 這 個 概念 || 這 首 歌 真的 很 好聽 ， GD 的 寫作 也 很 聰明,1,興奮,讚賞概念與GD合作,gemini-3.1-flash-lite
Aespa is the only reason Kpop isn’t boring,178,Aespa 是韓國流行音樂不無聊的唯一原因,原因|無聊; 音樂|流行; 音樂|無聊,3,Aespa  是 韓國 流行 音樂 不 無聊 的 唯一 原因,1,興奮,認為團體讓Kpop有,gemini-3.1-flash-lite
"""whole different animal "" ate🤯😻✨",179,「完全不同的動物」吃了🤯😻✨,動物|不同,1,「 完全 不同 的 動物 」 吃 了 🤯😻✨,1,興奮,稱讚表現非常出色,gemini-3.1-flash-lite
This is my jam. Aespa never disappoints ☺️☺️,183,這是我的果醬。 Aespa從不讓人失望☺️☺️,人|失望,1,Aespa 從不 讓 人 失望 ☺️ ☺ ️,1,興奮,對團體表現感到滿意,gemini-3.1-flash-lite
와 진짜 이런 컨셉 독보적이다,192,哇，這個概念確實很獨特。,概念|獨特,1,哇 ， 這 個 概念 確實 很 獨特,1,興奮,稱讚概念獨一無二,gemini-3.1-flash-lite
G Dragon's rap is mind blowing. The GOAT.,193,G Dragon 的饒舌令人興奮。山羊。,人|興奮; 人|饒舌,2,G Dragon   的 饒舌 令 人 興奮,1,興奮,讚賞GD饒舌實力,gemini-3.1-flash-lite
Winter devoured the concept like a whole different animal.,196,冬天就像一隻完全不同的動物一樣吞噬了這個概念。,動物|一樣; 動物|不同; 概念|一樣,3,冬天 就 像 一 隻 完全 不同 的 動物 一樣 吞噬 了 這 個 概念,1,興奮,稱讚Winter表現,gemini-3.1-flash-lite
This is why I love aespa. Peak transhumanism! Their concepts make creepy ideas alluring and aesthetic while still having those uncanny valley vibes 😮,202,這就是我喜歡aespa的原因。超人類主義巔峰！他們的概念使令人毛骨悚然的想法變得誘人和美觀，同時仍然具有恐怖谷的氛圍😮,人|毛骨悚然; 原因|喜歡; 想法|毛骨悚然; 想法|美觀; 想法|誘人; 概念|毛骨悚然,6,這 就 是 我 喜歡 aespa 的 原因 || 他們 的 概念 使 令 人 毛骨悚然 的 想法 變 得 誘人 和 美觀 ， 同時 仍然 具有 恐怖谷 的 氛圍 😮,1,興奮,喜愛其獨特美學概念,gemini-3.1-flash-lite
에스파 뮤비는 의도적으로 뷰티샷 빼는 장면들이 진짜 좋은 것 같음 멤버들이 괴담 혹은 크리피파스타처럼 느껴지는 장면들이 케이팝 뮤비에서 특히 여돌한테서 찾아보기 어려운데 그때 느껴지는 경외감이 진짜 소름돋고 좋음...보기만해도 뇌 녹는 그 느낌,210,aespa 的音樂錄影帶似乎有非常好的場景，但故意省略了美麗的鏡頭。在K-pop音樂錄影帶中，很難找到成員們感覺像鬼故事或令人毛骨悚然的場景，尤其是對於女偶像來說，但我當時感受到的敬畏感真的很令人毛骨悚然，很好……那種光看就融化我大腦的感覺。,人|好; 人|毛骨悚然; 們|感覺; 們|難; 場景|人; 場景|好; 場景|毛骨悚然; 大腦|融化; 感覺|融化; 成員|感覺; 成員|難; 敬畏感|感受到; 敬畏感|毛骨悚然; 錄影帶|好; 錄影帶|難; 鏡頭|美麗; 音樂|好; 音樂|難; 鬼故事|人; 鬼故事|感覺; 鬼故事|毛骨悚然,21,aespa  的 音樂 錄影帶 似乎 有 非常 好 的 場景 ， 但 故意 省略 了 美麗 的 鏡頭 || 在 K-pop 音樂 錄影帶 中 ， 很 難 找到 成員 們 感覺 像 鬼故事 或 令 人 毛骨悚然 的 場景 ， 尤其 是 對於 女 偶像 來 說 ， 但 我 當時 感受到 的 敬畏感 真的 很 令 人 毛骨悚然 ， 很 好 … … 那 種 光 看 就 融化 我 大腦 的 感覺,1,興奮,讚賞MV獨特的詭譎感,gemini-3.1-flash-lite
"#에스파 
컴백 예열 완료! 한 모금만으로 중독될 
#LEMONADE 의 짜릿한 맛
위기조차 즐기는 쿨한 애티튜드! 또 다른 #에스파 가 여는 세계관 새 시즌",211,"#espa 
复出预热完成！只要喝一口就會上癮
#LEMONADE 令人興奮的味道
甚至享受危機的冷靜態度！另一個#Espa開啟了新一季的世界觀",世界觀|新; 人|興奮; 危機|冷靜; 味道|興奮; 態度|冷靜,5,#LEMONADE  令 人 興奮 的 味道 || 甚至 享受 危機 的 冷靜 態度 || 另 一 個 #Espa 開啟 了 新 一 季 的 世界觀,1,期待,期待回歸與新曲,gemini-3.1-flash-lite
NO ONE WILL EVER TOUCH AESPA’S CONCEPT THEY ARE A WHOLE DIFFERENT ANIMAL!!,225,沒有人會觸及 AESPA 的概念，它們是一種完全不同的動物！,動物|不同,1,沒有 人 會 觸及  AESPA  的 概念 ， 它們 是 一 種 完全 不同 的 動物,1,興奮,強調團體概念無人能及,gemini-3.1-flash-lite
"Happy 20.2M to WDA (Whole Different Animal)

- 07.26 am kst",227,"祝 WDA（完全不同的動物）2020 萬快樂

- 上午 07.26（韓國標準時間）",動物|不同; 動物|快樂,2,祝  WDA （ 完全 不同 的 動物 ） 2020  萬 快樂,1,中立,慶祝觀看次數達成,gemini-3.1-flash-lite
COLLAB OF THE YEAR!!!!!!,244,年度最佳合作！ ！ ！ ！ ！ ！,年度|合作,1,年度 最佳 合作,1,興奮,稱讚年度最佳合作,gemini-3.1-flash-lite
"그냥 미감이 다르잖아~ sm중에서도 역대인듯
양산형 케이팝계에 생명력을 불어넣어주는 그런 선공개곡이네요",253,"只是審美不同而已~我覺得是SM裡最好的
這是一首預發行的歌曲，為大規模製作的韓國流行音樂世界注入了活力。",活力|流行; 音樂|流行,2,這 是 一 首 預 發行 的 歌曲 ， 為 大規模 製作 的 韓國 流行 音樂 世界 注入 了 活力,1,興奮,讚賞其獨特美學與生命,gemini-3.1-flash-lite
"aespaとGDは最高のコラボ！！
中毒性もあって、すごくかっこいい！",254,"Aespa 和 GD 是最好的合作！ ！
它會讓人上癮，而且真的很酷！",人|上癮,1,它 會 讓 人 上癮 ， 而且 真的 很 酷,1,興奮,認為合作非常帥氣,gemini-3.1-flash-lite
King of Kpop X Queens of Kpop,272,韓國流行音樂之王 X 韓國流行音樂女王,女王|流行; 王|流行; 音樂|流行,3,韓國 流行 音樂 之 王  X  韓國 流行 音樂 女王,1,興奮,稱讚兩大巨頭合作,gemini-3.1-flash-lite
에스파와 지디의 조합이라.. 케이팝 짱들이구나ㅠㅠ,276,這是 Aespa 和 GD 的組合。他們是韓國流行音樂中最好的。,音樂|好; 音樂|流行,2,他們 是 韓國 流行 音樂 中 最 好 的,1,興奮,對合作感到驚喜,gemini-3.1-flash-lite
뮤비 느낌이 뭔가 피곤할 때 꾼 꿈 느낌이다 노래 디지게 좋네,282,音樂錄影帶感覺就像我疲倦時所做的一個夢。這首歌真的很好聽。,感覺|疲倦; 歌|好聽; 錄影帶|疲倦,3,音樂 錄影帶 感覺 就 像 我 疲倦 時 所 做 的 一 個 夢 || 這 首 歌 真的 很 好聽,1,興奮,讚賞MV夢幻感與歌曲,gemini-3.1-flash-lite
As a VIP and SM stan I like this! Cool and sound unique,285,作為 VIP 和 SM 斯坦我喜歡這個！酷且聲音獨特,斯坦|喜歡; 聲音|獨特; 聲音|酷,3,作為  VIP  和  SM  斯坦 我 喜歡 這 個 || 酷 且 聲音 獨特,1,興奮,粉絲認可合作成果,gemini-3.1-flash-lite
"The MV, vocals, visuals, concept... everything are PERFECT!!! AESPA never disappoints",288,MV、聲音、視覺、概念……一切都很完美！ AESPA從不讓人失望,人|失望,1,AESPA 從不 讓 人 失望,1,興奮,認為一切都非常完美,gemini-3.1-flash-lite
"i can’t tell you how much i love the creativity in this man aespas production team are on a entire new level they’re not scared to try new things in a genre famous for overusing what sells
and the girls fitted the concept perfectly visually and audibly",289,"我無法告訴你我有多喜歡這個人的創造力 aespas 製作團隊處於一個全新的水平，他們不害怕在以過度使用暢銷產品而聞名的流派中嘗試新事物
女孩們在視覺和聽覺上完美地契合了這個概念",事物|新; 人|喜歡; 創造力|喜歡; 團隊|全新; 概念|契合; 水平|全新; 水平|害怕; 流派|新; 流派|暢銷; 產品|暢銷; 聽覺|契合; 聽覺|完美; 視覺|完美,13,我 無法 告訴 你 我 有 多 喜歡 這 個 人 的 創造力  aespas   製作 團隊 處於 一 個 全新 的 水平 ， 他們 不 害怕 在 以 過度 使用 暢銷 產品 而 聞名 的 流派 中 嘗試 新 事物 || 女孩 們 在 視覺 和 聽覺 上 完美 地 契合 了 這 個 概念,1,興奮,讚賞製作團隊的創意,gemini-3.1-flash-lite
They are whole different animals with g dragon on the beat. I love this,298,它們是完全不同的動物，節奏上有 g 龍。我喜歡這個,動物|不同; 節奏|不同,2,它們 是 完全 不同 的 動物 ， 節奏 上 有  g  龍,1,興奮,喜愛GD與團體的合作,gemini-3.1-flash-lite
대중성만 쫓는게 답이 아님을 보여주네 에스파의 실험적 사운드 ㄹㅇ 간지남 뮤비 미감도 미쳤고,300,這顯示僅僅追逐流行並不是答案。 Espa 的實驗聲音和酷炫的音樂錄影帶美學也令人瘋狂。,人|瘋狂; 答案|流行; 美學|炫; 美學|瘋狂; 美學|酷; 聲音|炫; 聲音|酷; 錄影帶|炫; 錄影帶|瘋狂; 錄影帶|酷; 音樂|炫; 音樂|酷,12,這 顯示 僅僅 追逐 流行 並 不 是 答案 || Espa  的 實驗 聲音 和 酷 炫 的 音樂 錄影帶 美學 也 令 人 瘋狂,1,興奮,讚賞實驗性音樂風格,gemini-3.1-flash-lite
좋은데?? 은근 중독성이 있네... Whole Different Animal~ 계속 맴도네....,301,好不好？ ？它很容易上癮...完全不同的動物~它不斷地回到我的腦海中...,動物|上癮; 動物|不同,2,它 很 容易 上癮 ... 完全 不同 的 動物 ~ 它 不斷 地 回到 我 的 腦海 中 ...,1,興奮,覺得歌曲非常洗腦,gemini-3.1-flash-lite
