Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences
Kratos wasn’t lying when he said she fought beautifully,13,奎托斯說她打得漂亮，他並沒有說謊,奎托斯|漂亮,1,奎托斯 說 她 打 得 漂亮 ， 他 並 沒有 說謊
From the creators of Dad of War. We got Mom of war,14,來自《戰爭之父》的創作者。我們有戰爭媽媽,,0,
"“In the beginning, there was the Cube” -Optimus Prime",15,「起初，有立方體」——擎天柱,,0,
"“What mythology are we doing now?”

“Yes.”",16,"“我們現在在做什麼神話？”

“是的。”",,0,
"2018: BOY
2026: CUBE",17,"2018：男孩
2026：立方體",,0,
Kratos saw her double-jump once and IMMEDIATELY knew she was the one. 💍,18,奎托斯有一次看到她的二段跳，立刻就知道她就是那個人。 💍,,0,
"Man if Kratos were in here it’d be like: “None of you seem to understand, I’m not locked in here with you. YOU’RE LOCKED IN HERE WITH ME!”",19,老兄，如果奎托斯在這裡的話，他會說：“你們似乎都不明白，我沒有和你一起被鎖在這裡。你和我一起被鎖在這裡！”,,0,
"“Are you a calm and reasonable person?”
Faye: *does air combo*",20,"“你是一個冷靜、理智的人嗎？”
Faye：*進行空中組合*",人|冷靜; 人|理智,2,“ 你 是 一 個 冷靜 、 理智 的 人 嗎
Oi hughie they turned ye into a bleedin cube,21,Oi Hughie 他們把你變成了一個血塊,,0,
"Kratos and atreus went through so much trouble to scatter her Ash in the highest point of all the realms so that she could attain peace, and look at her in the afterlife 😂",22,克雷多斯和阿特柔斯費了九牛二虎之力，才將她的骨灰撒在諸界最高點，讓她獲得平靜，在來世再見她😂,最高點|平靜,1,克雷多斯 和 阿特柔斯 費 了 九牛二虎之力 ， 才 將 她 的 骨灰 撒 在 諸 界 最高點 ， 讓 她 獲得 平靜 ， 在 來世 再見 她 😂
"Kratos: ""Stay out of trouble.""
Laufey: ""No promises."" 💀🔥",23,"奎托斯：“別惹麻煩。”
勞菲： “沒有承諾。” 💀🔥",,0,
"Kratos: my best friend is a talking head
Faye: my best friend is a talking cube",24,"奎托斯：我最好的朋友是會說話的人
Faye：我最好的朋友是一個會說話的立方體",奎托斯|好; 朋友|好,2,奎托斯 ： 我 最 好 的 朋友 是 會 說話 的 人 || Faye ： 我 最 好 的 朋友 是 一 個 會 說話 的 立方體
"Atreus: “Mom is resting in peace, right father?”
Faye subplot:",25,"阿特柔斯：“媽媽安息了，對吧爸爸？”
費伊次要情節：",媽媽|安息; 媽媽|對; 爸爸|安息; 爸爸|對; 阿特柔斯|安息,5,阿特柔斯 ： “ 媽媽 安息 了 ， 對 吧 爸爸
That fight she had with Thor must’ve been insane with these moves😭🔥,26,她和托爾的那場戰鬥一定是因為這些動作而瘋狂了😭🔥,動作|瘋狂,1,她 和 托爾 的 那 場 戰鬥 一定 是 因為 這些 動作 而 瘋狂 了 😭🔥
Faye definitely got some Zena the warrior princess vibes to her.,27,Faye 確實有一些戰士公主澤娜的感覺。,,0,
"After life for the gods?

Man when Faye meets Kratos's extended family.........",28,"為眾神而活後？

當費伊遇見奎托斯的大家庭時，男人...",奎托斯|大; 家庭|大; 男人|大; 神|活; 費伊|大,5,為 眾 神 而 活 後 || 當 費伊 遇見 奎托斯 的 大 家庭 時 ， 男人 ...
"Don't be sorry, be more square.
- Laufey",29,"別後悔，多點正經。
- 勞菲",,0,
"2006 : ""Athena!""
2016 : ""Boy!""
2026 : ""Cube!""",30,"2006年：《雅典娜！ 》
2016：“男孩！”
2026：“立方體！”",,0,
if kratos sees the tribe trouble her he will absolutely demolish them☠,31,如果奎托斯看到部落騷擾她，他絕對會消滅他們☠,,0,
"So basically, Odin wanted to know what was in this trailer.",32,基本上，奧丁想知道預告片中的內容。,內容|知道; 基本|知道; 奧丁|知道; 預告片|知道,4,基本 上 ， 奧丁 想 知道 預告片 中 的 內容
MAN. Kratos wasnt lying. Faye is AWESOME,33,男人。奎托斯沒有說謊。菲伊太棒了,菲伊|棒,1,菲伊 太 棒 了
"Kratos : Death can have me when it earns me.
Faye : 🗿",34,"奎托斯：當死亡贏得我時，它就能奪走我。
菲：🗿",奎托斯|死亡,1,奎托斯 ： 當 死亡 贏得 我 時 ， 它 就 能 奪走 我
"""Not your boss, Frank""
The Punisher: Karen?
 
Ft. Scorpion's ""get over here""",35,"“不是你的老闆，弗蘭克”
懲罰者：凱倫？
 
英尺。蝎子的“過來這裡”",,0,
Kratos walk to let Faye double jump,36,奎托斯走過去讓菲伊二段跳,,0,
Wife of war,37,戰爭的妻子,,0,
"2018: BOY 
2026: TOFU",38,"2018：男孩
2026：豆腐",,0,
"Instead of Atreus, we get a sentient jello square",39,我們得到的是有感知力的果凍方塊，而不是阿特柔斯,,0,
She doesn’t have a single song where she needs to be doing this,40,她沒有一首歌需要她這樣做,歌|這樣; 歌|需要,2,她 沒有 一 首 歌 需要 她 這樣 做
"Have to applaud a character for once going ""i need some armor,  the skeleton does not need it. I shall take it from him""",41,不得不為一個角色鼓掌，因為他曾經說過“我需要一些盔甲，骷髏不需要它。我會從他那裡拿走它”,盔甲|需要; 骷髏|需要,2,不得不 為 一 個 角色 鼓掌 ， 因為 他 曾經 說 過 “ 我 需要 一些 盔甲 ， 骷髏 不 需要 它
I want to see a video of the brainstorming session that decided her sidekick would be a gelatinous cube.,42,我想看一段頭腦風暴會議的視頻，會議決定她的搭檔是一個凝膠狀的立方體。,,0,
"""I like the cube"" -Kratos, probably",43,「我喜歡立方體」——奎托斯，可能,奎托斯|喜歡; 立方體|喜歡,2,「 我 喜歡 立方體 」 —— 奎托斯 ， 可能
"2010: Zeus
2018: Boy
2026: Cube",44,"2010：宙斯
2018：男孩
2026：立方體",,0,
"When the game is out, I want to see a hypercut video where Kratos and Atreus are mourning Faye and then it cuts to her juggling five demons to doom-like music.",45,遊戲結束後，我想看一段超剪輯視頻，其中奎托斯和阿特柔斯哀悼費伊，然後剪輯到她在厄運般的音樂中與五個惡魔雜耍。,遊戲|結束,1,遊戲 結束 後 ， 我 想 看 一 段 超剪輯 視頻 ， 其中 奎托斯 和 阿特柔斯 哀悼 費伊 ， 然後 剪輯到 她 在 厄運 般 的 音樂 中 與 五 個 惡魔 雜耍
“Hughie that was fuckn diabolical”,46,“休伊那真是太邪惡了”,,0,
I need a flashback in this game to the fight she and Kratos had when they met.,47,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,,0,
crazy retirement life for laufey- from a singer to a warrior,48,勞菲的瘋狂退休生活－從歌手到戰士,勞菲|瘋狂; 勞菲|退休; 歌手|瘋狂; 歌手|退休; 生活|瘋狂; 生活|退休,6,勞菲 的 瘋狂 退休 生活 － 從 歌手 到 戰士
"Me: Ooh, which mythos will it be?

Trailer: All of them... and Frank.",49,"我：哦，那會是哪個神話呢？

預告片：他們所有人……還有弗蘭克。",,0,
This is the weirdest way for the boys and daredevil to have a crossover,50,這是男孩和夜魔俠最奇怪的交叉方式,夜魔俠|交叉; 夜魔俠|奇怪; 方式|交叉; 方式|奇怪; 男孩|奇怪,5,這 是 男孩 和 夜魔俠 最 奇怪 的 交叉 方式
"Kratos : You are free
Laufrey : Sure???",51,"奎托斯：你自由了
勞弗雷：當然可以？ ？ ？",奎托斯|自由,1,奎托斯 ： 你 自由 了
"Studio- how creative are you?
Artist - how about a cube",52,"工作室－你的創造力如何？
藝術家 - 一個立方體怎麼樣",立方體|怎麼樣; 藝術家|怎麼樣,2,藝術家  -  一 個 立方體 怎麼樣
"Of all the drugs I've done, I've never thought about talking to a cube or ribbons on a sword",53,在我做過的所有毒品中，我從未想過與立方體或劍上的絲帶交談,,0,
"It looks great, I can't wait to play it when it's released.",54,看起來很棒，發布後我就迫不及待地想玩了。,,0,
"""Oi Huey 'Omelanda done turned you into a cube!""",55,“Oi Huey 'Omelanda 完成後，你變成了一個立方體！”,,0,
Why do I feel like she’s going to run into a few Greek gods.,56,我怎麼感覺她要碰到幾個希臘神。,,0,
"Imagine faye meeting Magni, Modi, Baldur or even Thor and Odin in the afterlife as the game progresses",57,想像一下，隨著遊戲的進行，費伊在來世遇到了麥格尼、莫迪、博德爾甚至雷神和奧丁,遊戲|想像,1,想像 一下 ， 隨著 遊戲 的 進行 ， 費伊 在 來世 遇到 了 麥格尼 、 莫迪 、 博德爾 甚至 雷神 和 奧丁
Wish they put this much effort into Kratos combat. but hey it is what it is I guess,58,希望他們在奎托斯的戰鬥中投入這麼多精力。但嘿，我猜就是這樣,奎托斯|希望,1,希望 他們 在 奎托斯 的 戰鬥 中 投入 這麼多 精力
"The floating cube from the PS2 startup proudly proclaims: ""THAT'S MY BOY!""",59,這家 PS2 新創公司的浮動立方體自豪地宣稱：“那是我的孩子！”,立方體|自豪,1,這 家  PS2  新創 公司 的 浮動 立方體 自豪 地 宣稱 ： “ 那 是 我 的 孩子
nice to see laufey transitioning from jazz music to something more out of the box,60,很高興看到勞菲從爵士音樂過渡到更開箱即用的音樂,勞菲|高興; 爵士|高興; 音樂|高興,3,很 高興 看到 勞菲 從 爵士 音樂 過渡到 更 開箱 即 用 的 音樂
Now I understand why Kratos heard her voice in the world of the elves; his wife was very much alive. 😮,61,現在我明白了為什麼奎托斯會在精靈世界聽到她的聲音了；他的妻子還活著。 😮,奎托斯|明白; 妻子|活,2,現在 我 明白 了 為什麼 奎托斯 會 在 精靈 世界 聽到 她 的 聲音 了 || 他 的 妻子 還 活 著
I really want to watch interview with the genius behind the cube idea,62,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,,0,
"“Don’t worry, she can handle herself. She was with the Dare Devil and Punisher in another life…”",63,“放心吧，她能處理好自己的，她在另一世就和敢死隊、懲罰者在一起了……”,敢死隊|在一起; 者|在一起,2,“ 放心 吧 ， 她 能 處理好 自己 的 ， 她 在 另 一 世 就 和 敢死隊 、 懲罰 者 在一起 了 ……”
It will turn out Faye is in the world beyond the rift Odin had in his study. And you needed a mask to look inside.,64,事實證明，費伊所在的世界超越了奧丁在他的書房中所存在的裂痕。你需要一個面具才能看到裡面。,面具|需要,1,你 需要 一 個 面具 才 能 看到 裡面
Today’s kids don’t know how much 90’s fellas love that ps2/ps3 jump and double jump,65,現在的孩子不知道90後有多少人喜歡ps2/ps3跳躍和二段跳,人|喜歡; 人|知道; 孩子|知道,3,現在 的 孩子 不 知道 90 後 有 多少 人 喜歡 ps2/ps3 跳躍 和 二 段 跳
"Literally unplayable, the bird call in the beginning is of a North American mourning dove which would not be found in Scandinavia. The Eurasian collared dove would have been a more location accurate choice, but their coo's are less distinctive than the ""coo-OOO-ooo-ooo"" of the mourning dove.

Game looks sick tho",66,"從字面上看，無法播放，開頭的鳥叫聲是北美哀鴿的叫聲，在斯堪的納維亞半島找不到。歐亞頸斑鳩是一個位置更準確的選擇，但它們的咕咕聲不如哀鴿的“咕-嗚-嗚-嗚”那麼獨特。

遊戲看起來很噁心",位置|準確; 叫聲|哀鴿; 咕咕聲|“咕; 咕咕聲|哀鴿; 斯堪的納維亞半島|哀鴿; 遊戲|噁心; 鳥叫聲|哀鴿,7,從 字面 上 看 ， 無法 播放 ， 開頭 的 鳥叫聲 是 北美 哀鴿 的 叫聲 ， 在 斯堪的納維亞半島 找 不 到 || 歐亞頸 斑鳩 是 一 個 位置 更 準確 的 選擇 ， 但 它們 的 咕咕聲 不如 哀鴿 的 “咕 - 嗚 - 嗚 - 嗚” 那麼 獨特 || 遊戲 看起來 很 噁心
"CC: [Speaking Mongolian]

As a Mongolian, I have no idea what he’s talking about.”",67,"CC：[說蒙古語]

身為一個蒙古人，我不知道他在說什麼。 」",蒙古人|知道,1,身為 一 個 蒙古人 ， 我 不 知道 他 在 說 什麼
"""It's what Faye would have wanted""
- Kratos",68,"“這就是費伊想要的”
- 奎托斯",,0,
That mask is what Odin went insane for in the previous game,69,那個面具是奧丁在上一場比賽中瘋狂的對象,對象|瘋狂; 比賽|瘋狂,2,那 個 面具 是 奧丁 在 上 一 場 比賽 中 瘋狂 的 對象
"""I'm not your boss, Frank""
Gave me that Punisher flashback",70,"“我不是你的老闆，弗蘭克”
給了我懲罰者的閃回",,0,
"kratos: find peace. 
faye: where is it!!",71,"奎托斯：找到平靜。 
菲：在哪裡！ ！",奎托斯|平靜,1,奎托斯 ： 找到 平靜
"I'm calling it now. 

Faye is the one who blew the horn in GOW 2018.",72,"我現在就打電話。 

Faye 是 GOW 2018 年吹響號角的人。",,0,
"Comments about game ❌
Comments about double jump ✔️",73,"遊戲評論❌
關於 二段跳 的評論 ✔️",,0,
The person in charge of comment removal deserves a raise,74,負責刪除評論的人應該加薪,,0,
Why is no one talking about that the villains of the game are the Egyptian and Mongolian gods of war trapped in limbo! This is superb,75,為什麼沒人說遊戲的反派是陷入地獄邊緣的埃及和蒙古戰神！這太棒了,,0,
"2018: watch your tone BOYYY 
2026: watch your tone cube",76,"2018：注意你的語調 BOYYY
2026：注意你的音調立方體",立方體|注意; 語調|注意; 音調|注意,3,2018 ： 注意 你 的 語調  BOYYY || 2026 ： 注意 你 的 音調 立方體
Faye moving like doctor strange was not something I expected,77,Faye 像《奇異博士》那樣的動作出乎我的意料,動作|奇異; 動作|那樣; 博士|奇異; 博士|那樣,4,Faye  像 《 奇異 博士 》 那樣 的 動作 出乎 我 的 意料
Imagine if Zeus is also there,78,想像一下如果宙斯也在的話,宙斯|想像,1,想像 一下 如果 宙斯 也 在 的話
She's going full Sora on them with those air combos.,79,她用那些空中連擊讓索拉全力以赴。,索拉|全力以赴,1,她 用 那些 空中 連擊 讓 索拉 全力以赴
"2018: World serpent 
2026: Flying Tiger",80,"2018：世界蛇
2026：飛虎",,0,
Kratos would absolutely go berserker mode if he found out his wife was being treated like this in the afterlife. He’d kill all them.,81,如果奎托斯發現他的妻子在來世受到這樣的對待，他絕對會變得狂暴模式。他會殺掉他們所有人。,妻子|這樣; 模式|狂暴,2,如果 奎托斯 發現 他 的 妻子 在 來世 受到 這樣 的 對待 ， 他 絕對 會 變 得 狂暴 模式
that's the kind of combat im looking for!!!!!! absolute fire!,82,這就是我正在尋找的戰鬥！ ！ ！ ！ ！ ！絕對火！,,0,
"Now I understand why Kratos said she fought beautifully!
Girl is an absolute unit!!",83,"現在我明白為什麼奎托斯說她打得漂亮了！
女孩子絕對是一個整體！ ！",奎托斯|明白; 奎托斯|漂亮,2,現在 我 明白 為什麼 奎托斯 說 她 打 得 漂亮 了
"""Thats the one for me!"" 
Kratos after witnessing Faye decapitate someone midair.",84,"“這就是適合我的！”
奎托斯目睹費伊在半空中斬首某人。",,0,
Yes for sure this Kratos wife. I can’t wait to play the game.,85,是的，奎托斯的妻子肯定是這樣。我等不及要玩遊戲了。,奎托斯|肯定; 奎托斯|這樣; 妻子|肯定; 妻子|這樣,4,是 的 ， 奎托斯 的 妻子 肯定 是 這樣
“After life of the gods” I think we’re going to be seeing some of kratos’ extended family…,86,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,,0,
Jack Quaid playing a slime block is the most jack Quaid thing ever.,87,傑克·奎德飾演黏液塊是傑克·奎德最喜歡的事。,事|喜歡; 傑克·奎德|喜歡; 黏液塊|喜歡,3,傑克· 奎德 飾演 黏液塊 是 傑克·奎德 最 喜歡 的 事
"Never in my life I would imagine the GOW Series going from killing an entire pantheon to battling alongside a literal cube.

Edit: FYI, no I am not complaining I just find it funny that’s all, obviously we’re going to be killing gods.",88,"我一生中從未想過 GOW 系列會從殺死整個萬神殿到與真正的立方體並肩作戰。

編輯：僅供參考，不，我不是抱怨，我只是覺得這很有趣，僅此而已，顯然我們要弒神。",,0,
The cubes of olympus have abandoned me..,89,奧林巴斯的立方體拋棄了我..,,0,
"Meanwhile, Kratos and Atreus are hunting a deer.",90,與此同時，奎托斯和阿特柔斯正在狩獵一頭鹿。,,0,
"""She fought...beautifully.""",91,“她打得很漂亮。”,,0,
"Before this trailer: How tf did Laufey survive a fight with Thor?
After this trailer: How tf did Thor survive a fight with Laufey?",92,"在播放預告片之前：勞菲是如何在與托爾的戰鬥中倖存下來的？
在這個預告片之後：托爾是如何在與勞菲的戰鬥中倖存下來的？",勞菲|倖存下來; 托爾|倖存下來,2,在 播放 預告片 之前 ： 勞菲 是 如何 在 與 托爾 的 戰鬥 中 倖存下來 的 || 在 這 個 預告片 之後 ： 托爾 是 如何 在 與 勞菲 的 戰鬥 中 倖存下來 的
"Why call this a ""Gameplay reveal"" when 90% of it was cinematics?",93,當 90% 都是過場動畫時，為什麼稱之為「遊戲玩法揭曉」？,,0,
Can't believe Deborah brought a gelatinous cube from her DnD campaign,94,不敢相信黛博拉從她的 DnD 活動中帶來了一個凝膠狀的立方體,黛博拉|相信,1,不 敢 相信 黛博拉 從 她 的  DnD  活動 中 帶來 了 一 個 凝膠狀 的 立方體
"As a bald man, those hair physics are nice af",95,身為一個禿頭男人，那些頭髮物理效果很好,效果|好; 物理|好; 頭髮|好,3,身為 一 個 禿頭 男人 ， 那些 頭髮 物理 效果 很 好
"Mimir: ""She is at peace Atreus"" the peace:",96,密米爾：“她很平靜，阿特柔斯”，平靜：,阿特柔斯”|平靜,1,密米爾 ： “ 她 很 平靜 ， 阿特柔斯” ， 平靜 ：
then we have kratos and atreus thinking she's in the light of alfheim now,97,然後我們讓奎托斯和阿特柔斯認為她現在在阿爾夫海姆的光芒下,,0,
"Faye getting a jump button before Kratos is wild. Looks cool tho, lore implications are crazy",98,費伊在奎托斯狂野之前就按下了跳躍按鈕。看起來很酷，傳說的意思很瘋狂,傳說|瘋狂; 傳說|酷; 奎托斯|狂野; 意思|瘋狂; 意思|酷; 費伊|狂野,6,費伊 在 奎托斯 狂野 之前 就 按下 了 跳躍 按鈕 || 看起來 很 酷 ， 傳說 的 意思 很 瘋狂
"As soon as I heard that cube talk, all I could think of was “OI HUGHIE”",99,當我聽到立方體談話時，我只想到“OI HUGHIE”,,0,
"Devil May Faye, hands rated E for Everyone",100,Devil May Faye，雙手評分為 E，適合所有人,人|適合; 雙手|適合,2,Devil  May  Faye ， 雙手 評分 為  E ， 適合 所有 人
"Kratos : por fin la bruja de tu madre fue quemada

Laufey : soy la bruja de Oz .",101,"奎托斯：你母親的女巫終於被燒死了

勞菲：我是奧茲國女巫。",,0,
"Everybody who hates Laufey, for sure got psychological issue with his mother. Scientists  put it in the test.",102,每個討厭勞菲的人肯定都和他的母親有心理問題。科學家們對其進行了測試。,人|肯定; 人|討厭; 勞菲|肯定; 勞菲|討厭; 母親|肯定,5,每 個 討厭 勞菲 的 人 肯定 都 和 他 的 母親 有 心理 問題
Mom of War is crazy,103,戰爭媽媽瘋了,媽媽|瘋; 戰爭|瘋,2,戰爭 媽媽 瘋 了
"""Oi Hughie, stop talkin outta the cube and help me get Omlander"" - Butcher",104,「餵，休吉，別在立方體外面說話了，幫我找到奧姆蘭德」——屠夫,,0,
the cube 💀💀,105,立方體💀💀,,0,
Soooo who else held the button to speed up the 1 minute of darkness,106,還有誰按下按鈕來加速黑暗的一分鐘,按鈕|黑暗,1,還 有 誰 按下 按鈕 來 加速 黑暗 的 一 分鐘
"""Your mother, she fought...beautifully""",107,“你的母親，她打得很漂亮……”,,0,
Kratos can't jump while his wife is jumping and air juggling enemies like Dante😂,108,當奎托斯的妻子在跳躍並與但丁這樣的敵人進行空中雜耍時，奎托斯無法跳躍😂,但丁|這樣; 敵人|這樣; 雜耍|這樣,3,當 奎托斯 的 妻子 在 跳躍 並 與 但丁 這樣 的 敵人 進行 空中 雜耍 時 ， 奎托斯 無法 跳躍 😂
"OI, HUGHIE, WHATCHA BEIN' A CUBE FOR?",109,餵，休伊，立方體是用來做什麼的？,,0,
They really used Amber Heard's character to make Faye lol,110,他們真的用艾梅柏·希爾德的角色來讓費耶哈哈大笑,,0,
their honeymoon must’ve been WILD,111,他們的蜜月一定很瘋狂,蜜月|瘋狂,1,他們 的 蜜月 一定 很 瘋狂
"Kratos sees Faye in an illusion, Faye sees Kratos in an illusion, a match made in heaven.",112,奎托斯在幻像中看到了費耶，費耶也在幻像中看到了奎托斯，天作之合。,,0,
Kratos's wife fighting alongside a jelly cube was not on my bingo card,113,奎托斯的妻子與果凍塊並肩作戰並不在我的賓果卡上,,0,
Glad to see this is continuing the time honored tradition of LEGO games saying that women can double jump.,114,很高興看到這延續了樂高遊戲的悠久傳統，即女性可以二段跳。,傳統|悠久; 傳統|樂高; 女性|悠久; 遊戲|悠久; 遊戲|樂高,5,很 高興 看到 這 延續 了 樂高 遊戲 的 悠久 傳統 ， 即 女性 可以 二 段 跳
I just had a thought of what could happen to that red guy if Kratos saw him hit his wife 💀,115,我只是想到如果克雷托斯看到那個紅色傢伙打他的妻子會發生什麼事💀,,0,
"""oi Cubie""",116,“哎呀庫比”,,0,
Now I understand why Kratos calmed tf down after meeting her. Girl's an absolute BEAST in combat 😂,117,現在我明白為什麼奎托斯在見到她後就平靜下來了。女孩在戰鬥中絕對是野獸😂,奎托斯|明白,1,現在 我 明白 為什麼 奎托斯 在 見到 她 後 就 平靜下來 了
9:20 Feels like I'm witnessing a Shrek 1 here with all the imprisoning of pretty cute creatures,118,9:20 感覺就像我在這裡目睹了怪物史萊克1，裡面關押著所有可愛的生物,生物|可愛,1,9:20  感覺 就 像 我 在 這裡 目睹 了 怪物 史萊克 1 ， 裡面 關押 著 所有 可愛 的 生物
Everyone else got cool and mythological names. Meanwhile Frank and Rue: Most Modern Names,119,其他人都有很酷且神話般的名字。同時，弗蘭克和魯：最現代的名字,人|酷; 名字|現代; 名字|酷; 弗蘭克|現代; 神話|酷; 魯|現代,6,其他 人 都 有 很 酷 且 神話 般 的 名字 || 同時 ， 弗蘭克 和 魯 ： 最 現代 的 名字
Laufey really went all out with this music video.,120,勞菲在這首音樂錄影帶上真的全力以赴。,錄影帶|全力以赴; 音樂|全力以赴,2,勞菲 在 這 首 音樂 錄影帶 上 真的 全力以赴
Some kids are definitely going to be named Phranque.,121,有些孩子肯定會被命名為 Phranque。,孩子|肯定,1,有些 孩子 肯定 會 被 命名為  Phranque
Came here to LIKE the video only. AWESOME,122,來這裡只是為了喜歡這個影片。驚人的,影片|喜歡,1,來 這裡 只是 為 了 喜歡 這 個 影片
Bruh the cube seems like something someone would mod in as a joke 😂,123,布魯赫這個立方體看起來像是有人會開玩笑地改裝的東西😂,,0,
No way we got hughie from the boys voicing a talking cube,124,我們不可能從男孩們那裡得到休吉，為一個會說話的立方體配音,,0,
22:21 see you soon Faye we’ll be looking forward for your afterlife journey,125,22:21 很快再見，Faye，我們期待您的來世之旅,旅|期待,1,22:21   很 快 再見 ， Faye ， 我們 期待 您 的 來世 之 旅
"This 'Everywhen' is the exact place that Mimir warned Kratos about in the GOW 2018 in the HELHIEM saying ""NEVER GO THERE ""  🤯🤯🤯🤯🤯🤯",126,這個「任何時候」正是米米爾在 2018 年 GOW 中的 HELHIEM 中警告奎托斯的地方，他說「永遠不要去那裡」🤯🤯🤯🤯🤯🤯,,0,
Now we know how chaotic and exhausted their family is,127,現在我們知道他們的家庭是多麼混亂和疲憊,家庭|混亂; 家庭|疲憊; 家庭|知道,3,現在 我們 知道 他們 的 家庭 是 多麼 混亂 和 疲憊
"Kratos: your mother is resting now
The mother: stuck in 20 minutes of cutscene",128,"奎托斯：你媽媽現在正在休息
母親：陷入20分鐘的過場動畫中",,0,
“That Time Frank Reincarnated As A Cube”,129,《那次弗蘭克轉世為立方體》,,0,
"Sacada de trailer, de gameplay y de personajes. Santa Mónica sorprende para bien una vez más.",130,取自預告片、遊戲玩法和角色。聖莫尼卡再次帶來驚喜。,聖莫尼卡|驚喜,1,聖莫尼卡 再次 帶來 驚喜
My mom trying to find me in Disney World.,131,我媽媽試圖在迪士尼世界找到我。,,0,
"Fey ,a Talking Ribbon, and a blueberry flavored Jell-o",132,Fey、會說話的緞帶和藍莓口味果凍,,0,
I can see now why Kratos fell in love with her,133,我現在明白為什麼奎托斯愛上她了,奎托斯|明白,1,我 現在 明白 為什麼 奎托斯 愛上 她 了
This game look tuff,134,這遊戲看起來很土,遊戲|土,1,這 遊戲 看起來 很 土
"kratos fell in love with her the moment he saw that double jump, air combo and that she can parry with her hand😭",135,克雷多斯在看到她的二段跳、空中連擊以及她可以用手格擋的那一刻就愛上了她😭,,0,
devs opened blender and were like: hmm the default cube? keep it!,136,開發人員打開攪拌機，然後想：嗯，預設的立方體？保留它！,,0,
"Ahh I get it, so this is the god's afterlife Odin was so obsessed to know about, and the mask he had as the only proof of it existing are the ones present in here. 

Glad to know that plotline isn't abandoned, just left for a another game to expand upon.",137,"啊，我明白了，這就是奧丁如此著迷的神的來世，而他所擁有的面具，作為它存在的唯一證據，就是這裡的面具。 

很高興知道情節並沒有被放棄，只是留給了另一款遊戲來擴展。",情節|知道; 情節|高興,2,很 高興 知道 情節 並 沒有 被 放棄 ， 只是 留給 了 另 一 款 遊戲 來 擴展
That looks amazing,138,看起來棒極了,,0,
Laufey May Cry,139,勞菲可能會哭,,0,
That tufu cube hiting the boss like a beach ball to the face,140,那個豆腐塊像沙灘球一樣擊中老闆的臉,沙灘球|一樣; 老闆|一樣; 臉|一樣; 豆腐塊|一樣,4,那 個 豆腐塊 像 沙灘球 一樣 擊中 老闆 的 臉
"""Oh yeah ok so if we add a cube to this game just hear me out now.""",141,“哦，是的，好吧，如果我們在這個遊戲中添加一個立方體，現在就聽我說完。”,,0,
