Comment_Text,Source_Row_Index,CKIP_Analysis_Text,CKIP_Matched_Pairs,CKIP_Matched_Pair_Count,CKIP_Matched_Sentences,Stage1_Relevance_Score,Gemini_Emotion,Gemini_Reason,Gemini_Model
期待跟亞當術士、阿薛夢幻聯動,42,期待跟亞當術士、阿薛夢幻聯動,亞當|期待; 術士|期待; 阿薛|期待,3,期待 跟 亞當 術士 、 阿薛 夢幻 聯動,1,反諷,嘲諷演員外貌像術士,gemini-3.1-flash-lite
可惜不是電視版女主角!,59,可惜不是電視版女主角!,主角|可惜; 女|可惜; 電視版|可惜,3,可惜 不 是 電視版 女 主角,1,中立,懷念電視版女主角,gemini-3.1-flash-lite
超人電影早就爛掉了，從剛開始的超人出現設定就是無敵，現在要出什麼反派都超無感，不像漫威的薩諾斯真的給人喘不過氣的壓迫感。,76,超人電影早就爛掉了，從剛開始的超人出現設定就是無敵，現在要出什麼反派都超無感，不像漫威的薩諾斯真的給人喘不過氣的壓迫感。,人|漫威; 薩諾斯|漫威; 超人|爛掉; 電影|爛掉,4,超人 電影 早 就 爛掉 了 ， 從 剛 開始 的 超人 出現 設定 就 是 無敵 ， 現在 要 出 什麼 反派 都 超無感 ， 不 像 漫威 的 薩諾斯 真的 給 人 喘 不 過 氣 的 壓迫感,1,憤怒,批評超人設定無聊,gemini-3.1-flash-lite
中二的感覺不見了😂,81,中二的感覺不見了😂,中二|不見了; 感覺|不見了,2,中二 的 感覺 不見了 😂,1,期待,對風格轉變感到滿意,gemini-3.1-flash-lite
"感覺上應該會比上一部""超人""好看。",87,"感覺上應該會比上一部""超人""好看。",超人|好看,1,"感覺 上 應該 會 比 上 一 部 "" 超人 "" 好看",1,期待,看好比前作更精彩,gemini-3.1-flash-lite
"為何氪星人需要跟雜魚肉搏？
蝙蝠俠也是用了氪石才能跟超人勢均力敵，還是這部每個雜魚都有氪星人這麼強嗎？
感覺像是換皮星際異攻隊，完全不會想看...",131,"為何氪星人需要跟雜魚肉搏？
蝙蝠俠也是用了氪石才能跟超人勢均力敵，還是這部每個雜魚都有氪星人這麼強嗎？
感覺像是換皮星際異攻隊，完全不會想看...",人|需要; 氪星|需要; 氪星人|強; 氪石|勢均力敵; 異攻隊|感覺; 超人|勢均力敵; 雜|需要; 雜魚|強; 魚肉|需要,9,為何 氪星 人 需要 跟 雜 魚肉 搏 || 蝙蝠俠 也 是 用 了 氪石 才 能 跟 超人 勢均力敵 ， 還是 這 部 每 個 雜魚 都 有 氪星人 這麼 強 嗎 || 感覺 像是 換皮 星際 異攻隊 ， 完全 不會 想 看 ...,1,憤怒,質疑戰力設定不合理,gemini-3.1-flash-lite
漫威DC夢幻連動，亞當術士跨界演出超少女，感動,151,漫威DC夢幻連動，亞當術士跨界演出超少女，感動,亞當|漫威; 夢幻|漫威; 超少女|感動,3,漫威 DC 夢幻 連動 ， 亞當 術士 跨 界 演出 超少女 ， 感動,1,反諷,嘲諷演員外貌像術士,gemini-3.1-flash-lite
"這2年 DEI LBGT 電影 諷刺Mam的段子 超過這20年諷刺Woman的段子
其實也沒什麼 你妳歡DEI LBGT 創造自己的故事
但是請不要把手伸入 一些 本來世界觀就已經是這樣的故事
你不喜歡白雪公主 王子拯救公主
你就弄一個黑馬王子 讓艾比拿高爾夫球 殺入魁男塾打爆所有男性壞人的頭顱 拯救黑馬王子 創造自己DEI LBGT故事
成立DEI LBGT遊戲 公司 電影 
不要老是入侵 非DEI LBGT公司試圖拿現成改造",162,"這2年 DEI LBGT 電影 諷刺Mam的段子 超過這20年諷刺Woman的段子
其實也沒什麼 你妳歡DEI LBGT 創造自己的故事
但是請不要把手伸入 一些 本來世界觀就已經是這樣的故事
你不喜歡白雪公主 王子拯救公主
你就弄一個黑馬王子 讓艾比拿高爾夫球 殺入魁男塾打爆所有男性壞人的頭顱 拯救黑馬王子 創造自己DEI LBGT故事
成立DEI LBGT遊戲 公司 電影 
不要老是入侵 非DEI LBGT公司試圖拿現成改造",世界觀|這樣; 公主|喜歡; 故事|歡; 故事|這樣; 王子|喜歡; 白雪公主|喜歡,6,其實 也 沒 什麼   你 妳 歡 DEI LBGT  創造 自己 的 故事 || 但是 請 不要 把 手 伸入   一些   本來 世界觀 就 已經 是 這樣 的 故事 || 你 不 喜歡 白雪公主   王子 拯救 公主,1,憤怒,強烈反對DEI政治正,gemini-3.1-flash-lite
"留言區真的可以在沒水準一點。整個滑下去都在批評演員的樣貌和罵詹姆斯岡恩。
1.詹姆斯岡恩是監製，不是導演!!!!!!還在那裏扯星際異攻隊!請去看原著!
2.暴狼的角色風格本來就很適合這種類型的電影。甚至我覺得Jason Momoa比起演水行俠，我更喜歡他現在的表現。
3.卡拉本來就是克拉克的堂弟!!(翻譯沒有錯)，電影到時會解釋為何年齡有差!
4.在這個英雄片逐漸哀敗的時代和電影院市場嚴重萎縮，串流興起的時代，還要創作者願意努力拍好片給大家看就要偷笑了，還在那邊嫌!甚至還在拉前朝DC來比。查克都已經沒人敢用了，還在硬扯!
為何歐美的留言區都是一片祥和，就我們中文圈在那裏講各種噁心、充滿歧視味的話語!真心覺得丟臉!",191,"留言區真的可以在沒水準一點。整個滑下去都在批評演員的樣貌和罵詹姆斯岡恩。
1.詹姆斯岡恩是監製，不是導演!!!!!!還在那裏扯星際異攻隊!請去看原著!
2.暴狼的角色風格本來就很適合這種類型的電影。甚至我覺得Jason Momoa比起演水行俠，我更喜歡他現在的表現。
3.卡拉本來就是克拉克的堂弟!!(翻譯沒有錯)，電影到時會解釋為何年齡有差!
4.在這個英雄片逐漸哀敗的時代和電影院市場嚴重萎縮，串流興起的時代，還要創作者願意努力拍好片給大家看就要偷笑了，還在那邊嫌!甚至還在拉前朝DC來比。查克都已經沒人敢用了，還在硬扯!
為何歐美的留言區都是一片祥和，就我們中文圈在那裏講各種噁心、充滿歧視味的話語!真心覺得丟臉!",時|錯; 時代|哀敗; 時代|嚴重; 時代|萎縮; 時代|願意; 歧視味|噁心; 水行俠|喜歡; 片|努力; 片|好; 片|願意; 翻譯|錯; 者|努力; 者|好; 者|願意; 英雄片|哀敗; 表現|喜歡; 角色|暴狼; 角色|適合; 話語|噁心; 電影|適合; 電影|錯; 類型|適合; 風格|暴狼; 風格|適合,24,2 . 暴狼 的 角色 風格 本來 就 很 適合 這 種 類型 的 電影 || 甚至 我 覺得 Jason   Momoa 比起 演 水行俠 ， 我 更 喜歡 他 現在 的 表現 || ( 翻譯 沒有 錯 ) ， 電影 到 時 會 解釋 為何 年齡 有 差 || 4. 在 這 個 英雄片 逐漸 哀敗 的 時代 和 電影院 市場 嚴重 萎縮 ， 串流 興起 的 時代 ， 還要 創作 者 願意 努力 拍 好 片 給 大家 看 就 要 偷笑 了 ， 還 在 那邊 嫌 || 為何 歐美 的 留言區 都 是 一 片 祥和 ， 就 我們 中文圈 在 那裏 講 各 種 噁心 、 充滿 歧視味 的 話語,1,憤怒,不滿留言區歧視言論,gemini-3.1-flash-lite
"垃圾一套, 
但台灣人比較多左翼傾向, 票房應該會比香港好些 (人口比例上)
我就不會入場, 送票都無興趣, 但非常有興趣看票房將會有多失敗",198,"垃圾一套，
但台灣人比較多左翼趨勢，持有應該會比香港好一些（人口比例上）
我不會入場，送票都沒有興趣，但我非常有興趣看產權會失敗多少",人口|好; 台灣人|多; 左翼|多; 比例|好; 產權|失敗; 興趣|失敗; 趨勢|多,7,但 台灣人 比較 多 左翼 趨勢 ， 持有 應該 會 比 香港 好 一些 （ 人口 比例 上 ） || 我 不會 入場 ， 送 票 都 沒有 興趣 ， 但 我 非常 有 興趣 看 產權 會 失敗 多少,1,反諷,期待票房慘敗看笑話,gemini-3.1-flash-lite
